idade,energia_consumo_automatico_kwh,lote_composto,racao_consumo_g_ave,racao_referencia_g_ave,gmd_g,gmd_referencia_g,mortalidade_acumulada_percent,mortalidade_referencia_percent
0,46.306,1282-19,774.84,0.0,,0.0,,0.15
1,51.467,1282-19,1012.66,597.545,,21.5,0.0587403459153703,0.15
2,66.18,1282-19,1249.92,780.776,,16.383,0.0805608778958369,0.15
3,45.056,1282-19,1367.62,963.543,18.66744383176168,16.383,0.0980755399603339,0.15
4,33.217,1282-19,1604.17,1054.458,19.073891818523407,17.14625,0.0807049688086201,0.15
5,33.296,1282-19,1840.63,1237.032,20.07638426167624,18.834,0.0654793085385018,0.15
6,40.434,1282-19,2075.45,1418.467,20.659478679690874,20.647166666666667,0.1289420198002491,0.15
7,44.555,1282-19,2192.66,1600.48,22.587386560928653,22.083571428571428,0.0634184744576627,0.15
8,50.796,1282-19,2547.16,1691.233,23.31296670649415,23.805875,0.0415673062197816,0.05
9,70.359,1282-19,2960.78,1964.799,24.548053670013047,25.823888888888888,0.0350163044667673,0.05
10,87.997,1282-19,3374.11,2283.85,26.792389119632453,27.7436,0.035028570177551,0.05
11,76.333,1282-19,3449.0,2602.62,28.18560239967717,29.783363636363635,0.0372317126587823,0.05
12,54.66,1282-19,3461.0,2921.28,29.98256948670749,31.737583333333333,0.0328623069339467,0.05
13,102.542,1282-19,3614.0,3285.432,31.33372276437567,33.62930769230769,0.0306808967587824,0.05
14,119.327,1282-19,4384.0,3376.028,33.93401907089281,35.5395,0.0197273245364078,0.05
15,78.216,1282-19,4001.0,3557.892,36.29947315417959,37.33546666666667,0.0175384750295961,0.05
16,63.636,1282-19,4810.0,3873.875,37.70110186721906,39.1595625,0.0855732309380142,0.05
17,70.814,1282-19,3962.0,4144.504,39.05167220870322,40.95117647058824,0.0680660460214298,0.05
18,105.912,1282-19,5967.0,4688.148,41.86057423615287,42.65838888888889,0.0615168292468582,0.05
19,164.191,1282-19,5078.0,5003.13,43.5310314182321,44.34657894736842,0.0725545808323989,0.05
20,97.766,1282-19,4943.0,5182.554,45.24577081048295,46.02075,0.048393128175799,0.05
21,144.812,1282-19,5314.0,5362.038,47.9486207812446,47.58257142857143,0.0440131159085407,0.05
22,163.169,1282-19,6463.0,5587.029,49.30143066639072,49.143136363636366,0.0396275014860313,0.05
23,235.475,1282-19,6836.0,5810.56,50.27643903131123,50.655869565217394,0.061680801850424,0.05
24,184.059,1282-19,6429.0,6034.343,51.97821977713187,52.12854166666666,0.0528972250997333,0.05
25,220.529,1282-19,6702.0,6210.347,54.03784586041794,53.52468,0.0882398358739052,0.05
26,252.004,1282-19,5559.0,6522.624,54.36354026072707,54.89115384615385,0.0772695160720593,0.05
27,269.651,1282-19,6979.0,6788.1,55.14154889230845,56.23444444444444,0.092809475405489,0.05
28,297.61,1282-19,7005.0,7054.32,55.23601669463683,57.51557142857143,0.075187969924812,0.05
29,275.121,1282-19,7675.0,7225.92,57.05370409067368,58.745413793103445,0.1284265532970196,0.05
30,313.142,1282-19,7899.0,7394.924,59.56611419076913,59.92766666666667,0.1574593599609678,0.05
31,317.79,1282-19,6808.0,7509.99,61.19145012691591,61.098838709677416,0.2690682677340449,0.05
32,382.866,1282-19,8493.0,7621.1,60.919724574537724,62.1968125,0.3122908766451037,0.05
33,215.01,1282-19,6675.0,7773.102,63.793125782088325,63.25951515151515,0.3514427058849864,0.05
34,257.302,1282-19,9259.0,7871.367,63.73353281208113,64.28879411764706,0.4542285984124485,0.05
35,315.799,1282-19,9137.0,7931.132,64.77278549627862,65.26048571428572,0.3678793897264602,0.05
36,305.84,1282-19,8251.0,8023.106,67.21948489237003,66.17819444444444,0.510400834788921,0.15
37,326.697,1282-19,7418.0,8144.94,66.4728048890756,67.07302702702702,0.6691025348253026,0.15
38,362.564,1282-19,8343.0,8268.42,66.33567889472765,67.9218947368421,0.6250287237464957,0.15
39,409.938,1282-19,8385.0,8343.776,66.97539595301679,68.75258974358974,0.6615470022205774,0.15
40,449.141,1282-19,8395.0,8436.328,68.17268069300789,69.517025,0.9527367831122736,0.15
