"Idade","Data","Referência (kg)","Ração automática (kg)","Relação","Ração manual (kg)","Relação"
"42","2025-10-01T03:00:00","8813.168","3539.4827880859375","","9668.301771308255",""
"41","2025-09-30T03:00:00","8601.313","4596.477783203125","","9441.346330667217",""
"40","2025-09-29T03:00:00","8347.087","8057.1219482421875","","9214.390890026178",""
"39","2025-09-28T03:00:00","8243.802","8779.167724609375","","9071.437303056391",""
"38","2025-09-27T03:00:00","8166.96","9054.779296875","","8942.666890874816",""
"37","2025-09-26T03:00:00","8044.872","7754.07177734375","","8803.661706042565",""
"36","2025-09-25T03:00:00","7922.096","8847.7255859375","","8673.326933719662",""
"35","2025-09-24T03:00:00","7827.491","8409.717163085938","","8560.517280897853",""
"34","2025-09-23T03:00:00","7771.362","9321.0732421875","","8419.409853190746",""
"33","2025-09-22T03:00:00","7668.18","8892.327514648438","","8356.441143063548",""
"32","2025-09-21T03:00:00","7517.91","8028.9532470703125","","8243.33147596806",""
"31","2025-09-20T03:00:00","7417.639","7723.82958984375","","8089.166998478588",""
"30","2025-09-19T03:00:00","7313.416","7109.96484375","","7978.088856607733",""
"29","2025-09-18T03:00:00","7156.64","7172.38671875","","7858.492452323468",""
"28","2025-09-17T03:00:00","6988.644","5384.6748046875","","7678.822475653015",""
"27","2025-09-16T03:00:00","6727.2","","","7495.042303433149",""
"26","2025-09-15T03:00:00","6488.928","","","7241.1659391270905",""
"25","2025-09-14T03:00:00","6180.755","","","6959.69683347888",""
"24","2025-09-13T03:00:00","6004.95","","","6626.515981843757",""
"23","2025-09-12T03:00:00","5786.88","","","6451.28193050557",""
"22","2025-09-11T03:00:00","5569.194","","","6208.752534621902",""
"21","2025-09-10T03:00:00","5350.946","2695.31884765625","","5975.316785669379",""
"20","2025-09-09T03:00:00","5174.232","","","5737.601547398723",""
"19","2025-09-08T03:00:00","4996.53","","","5547.381783090229",""
"18","2025-09-07T03:00:00","4682.895","","","5357.687043760675",""
"17","2025-09-06T03:00:00","4140.409","","","5020.4956441741815",""
"16","2025-09-05T03:00:00","3871.41","","","4440.166248320271",""
"15","2025-09-04T03:00:00","3554.616","","","4149.77600394828",""
"14","2025-09-03T03:00:00","3373.956","","","3809.8684037054363",""
"13","2025-09-02T03:00:00","3284.208","","","3616.0763265810547",""
"12","2025-09-01T03:00:00","2920.704","","","3520.041757576145",""
"11","2025-08-31T03:00:00","2601.993","","","3129.8174777189997",""
"10","2025-08-30T03:00:00","2283.25","","","2788.470880442041",""
"9","2025-08-29T03:00:00","1964.498","","","2447.152141633353",""
"8","2025-08-28T03:00:00","1691.159","","","2105.518387837301",""
"7","2025-08-27T03:00:00","1600.97","","","1814.7777696528349",""
"6","2025-08-26T03:00:00","1419.304","","","1719.0817881853634",""
"5","2025-08-25T03:00:00","1237.896","","","1523.4124788913853",""
"4","2025-08-24T03:00:00","1055.056","","","1326.8431267763679",""
"3","2025-08-23T03:00:00","963.879","","","1130.9391634611902",""
"2","2025-08-22T03:00:00","780.844","","","1034.0816981627584",""
"1","2025-08-21T03:00:00","597.545","","","837.1137556555664",""
"0","2025-08-20T03:00:00","0","","","640.5219024700228",""
