"Idade","Data","Mortalidade (un)","Mortalidade (%)","Referência (%)","Relação"
"42","2025-10-01T03:00:00","","","0.15",""
"41","2025-09-30T03:00:00","","","0.15",""
"40","2025-09-29T03:00:00","343","0.8095159425078473","0.15",""
"39","2025-09-28T03:00:00","270","0.6321112515802781","0.15",""
"38","2025-09-27T03:00:00","268","0.6234878094174576","0.15",""
"37","2025-09-26T03:00:00","276","0.6381207805419402","0.15",""
"36","2025-09-25T03:00:00","201","0.4617717331372909","0.15",""
"35","2025-09-24T03:00:00","177","0.4047657161151639","0.05",""
"34","2025-09-23T03:00:00","164","0.37352525850681","0.05",""
"33","2025-09-22T03:00:00","153","0.34717494894486045","0.05",""
"32","2025-09-21T03:00:00","194","0.4386857517581349","0.05",""
"31","2025-09-20T03:00:00","177","0.3984960713240426","0.05",""
"30","2025-09-19T03:00:00","135","0.302731309144728","0.05",""
"29","2025-09-18T03:00:00","70","0.15649802141787209","0.05",""
"28","2025-09-17T03:00:00","49","0.10937744146074689","0.05",""
"27","2025-09-16T03:00:00","214","0.47716732072779167","0.05",""
"26","2025-09-15T03:00:00","53","0.117615729439439","0.05",""
"25","2025-09-14T03:00:00","35","0.07757951900698215","0.05",""
"24","2025-09-13T03:00:00","60","0.132890365448505","0.05",""
"23","2025-09-12T03:00:00","68","0.150409201504092","0.05",""
"22","2025-09-11T03:00:00","69","0.15239189010115287","0.05",""
"21","2025-09-10T03:00:00","41","0.09041391933314222","0.05",""
"20","2025-09-09T03:00:00","35","0.07711289327575571","0.05",""
"19","2025-09-08T03:00:00","42","0.09246417013407304","0.05",""
"18","2025-09-07T03:00:00","34","0.07478279995601012","0.05",""
"17","2025-09-06T03:00:00","47","0.10329897360381547","0.05",""
"16","2025-09-05T03:00:00","26","0.05708514468888596","0.05",""
"15","2025-09-04T03:00:00","22","0.048275256736592644","0.05",""
"14","2025-09-03T03:00:00","20","0.043865420888713424","0.05",""
"13","2025-09-02T03:00:00","22","0.048230806331389486","0.05",""
"12","2025-09-01T03:00:00","13","0.028486282759225174","0.05",""
"11","2025-08-31T03:00:00","16","0.03505005586102653","0.05",""
"10","2025-08-30T03:00:00","21","0.045987079820431404","0.05",""
"9","2025-08-29T03:00:00","21","0.0459659414262575","0.05",""
"8","2025-08-28T03:00:00","35","0.0765747040934649","0.05",""
"7","2025-08-27T03:00:00","42","0.09181933452844213","0.15",""
"6","2025-08-26T03:00:00","64","0.1397868250917351","0.15",""
"5","2025-08-25T03:00:00","24","0.05234688536032106","0.15",""
"4","2025-08-24T03:00:00","27","0.058859434949424486","0.15",""
"3","2025-08-23T03:00:00","33","0.07189699121985228","0.15",""
"2","2025-08-22T03:00:00","33","0.07184533658451624","0.15",""
"1","2025-08-21T03:00:00","27","0.05874034591537039","0.15",""
"0","2025-08-20T03:00:00","","","0.15",""
