"Idade","Data","Referência (kwh)","Consumo automático (kwh)","Relação","Consumo manual (kwh)","Relação"
"42","2025-10-01T03:00:00","471.064","217.854","","",""
"41","2025-09-30T03:00:00","471.064","441.291","","",""
"40","2025-09-29T03:00:00","471.064","449.141","","",""
"39","2025-09-28T03:00:00","475.552","409.938","","",""
"38","2025-09-27T03:00:00","478.698","362.564","","",""
"37","2025-09-26T03:00:00","437.9","326.697","","",""
"36","2025-09-25T03:00:00","440.83","305.84","","",""
"35","2025-09-24T03:00:00","398.772","315.799","","",""
"34","2025-09-23T03:00:00","400.239","257.302","","",""
"33","2025-09-22T03:00:00","402.057","215.01","","",""
"32","2025-09-21T03:00:00","403.47","382.866","","",""
"31","2025-09-20T03:00:00","404.73","317.79","","",""
"30","2025-09-19T03:00:00","405.819","313.142","","",""
"29","2025-09-18T03:00:00","361.296","275.121","","",""
"28","2025-09-17T03:00:00","361.76","297.61","","",""
"27","2025-09-16T03:00:00","362.032","269.651","","",""
"26","2025-09-15T03:00:00","317.072","252.004","","",""
"25","2025-09-14T03:00:00","317.317","220.529","","",""
"24","2025-09-13T03:00:00","317.597","184.059","","",""
"23","2025-09-12T03:00:00","272.37","235.475","","",""
"22","2025-09-11T03:00:00","272.538","163.169","","",""
"21","2025-09-10T03:00:00","272.646","144.812","","",""
"20","2025-09-09T03:00:00","227.305","97.766","","",""
"19","2025-09-08T03:00:00","227.415","164.191","","",""
"18","2025-09-07T03:00:00","182.064","105.912","","",""
"17","2025-09-06T03:00:00","182.176","70.814","","",""
"16","2025-09-05T03:00:00","182.3","63.636","","",""
"15","2025-09-04T03:00:00","136.842","78.216","","",""
"14","2025-09-03T03:00:00","136.866","119.327","","",""
"13","2025-09-02T03:00:00","136.893","102.542","","",""
"12","2025-09-01T03:00:00","136.935","54.66","","",""
"11","2025-08-31T03:00:00","136.98","76.333","","",""
"10","2025-08-30T03:00:00","137.031","87.997","","",""
"9","2025-08-29T03:00:00","137.079","70.359","","",""
"8","2025-08-28T03:00:00","137.127","50.796","","",""
"7","2025-08-27T03:00:00","137.184","44.555","","",""
"6","2025-08-26T03:00:00","137.271","40.434","","",""
"5","2025-08-25T03:00:00","91.632","33.296","","",""
"4","2025-08-24T03:00:00","91.692","33.217","","",""
"3","2025-08-23T03:00:00","91.766","45.056","","",""
"2","2025-08-22T03:00:00","91.856","66.18","","",""
"1","2025-08-21T03:00:00","91.93","51.467","","",""
"0","2025-08-20T03:00:00","0","46.306","","",""
