"Idade","Data","Referência (kwh)","Consumo automático (kwh)","Relação","Consumo manual (kwh)","Relação"
"42","2025-10-01T03:00:00","466.081","281.901","","",""
"41","2025-09-30T03:00:00","466.081","266.75","","",""
"40","2025-09-29T03:00:00","466.081","300.807","","",""
"39","2025-09-28T03:00:00","469.854","281.423","","",""
"38","2025-09-27T03:00:00","472.824","260.966","","",""
"37","2025-09-26T03:00:00","432.52","219.16","","",""
"36","2025-09-25T03:00:00","435.28","205.394","","",""
"35","2025-09-24T03:00:00","393.561","221.476","","",""
"34","2025-09-23T03:00:00","395.154","179.584","","",""
"33","2025-09-22T03:00:00","396.63","141.081","","",""
"32","2025-09-21T03:00:00","398.007","254.142","","",""
"31","2025-09-20T03:00:00","399.753","216.48","","",""
"30","2025-09-19T03:00:00","401.346","201.63","","",""
"29","2025-09-18T03:00:00","357.832","185.226","","",""
"28","2025-09-17T03:00:00","358.392","195.028","","",""
"27","2025-09-16T03:00:00","358.784","180.239","","",""
"26","2025-09-15T03:00:00","315.434","212.27","","",""
"25","2025-09-14T03:00:00","315.805","197.413","","",""
"24","2025-09-13T03:00:00","316.05","156.888","","",""
"23","2025-09-12T03:00:00","271.26","189.13","","",""
"22","2025-09-11T03:00:00","271.668","141.875","","",""
"21","2025-09-10T03:00:00","272.082","128.896","","",""
"20","2025-09-09T03:00:00","226.94","99.454","","",""
"19","2025-09-08T03:00:00","227.115","183.727","","",""
"18","2025-09-07T03:00:00","181.86","121.14","","",""
"17","2025-09-06T03:00:00","181.996","138.357","","",""
"16","2025-09-05T03:00:00","182.184","173.239","","",""
"15","2025-09-04T03:00:00","136.716","140.401","","",""
"14","2025-09-03T03:00:00","136.782","184.004","","",""
"13","2025-09-02T03:00:00","136.842","177.562","","",""
"12","2025-09-01T03:00:00","136.908","171.605","","",""
"11","2025-08-31T03:00:00","136.947","174.575","","",""
"10","2025-08-30T03:00:00","136.995","170.687","","",""
"9","2025-08-29T03:00:00","137.058","147.646","","",""
"8","2025-08-28T03:00:00","137.121","150.792","","",""
"7","2025-08-27T03:00:00","137.226","130.568","","",""
"6","2025-08-26T03:00:00","137.352","117.454","","",""
"5","2025-08-25T03:00:00","91.696","111.385","","",""
"4","2025-08-24T03:00:00","91.744","105.857","","",""
"3","2025-08-23T03:00:00","91.798","133.924","","",""
"2","2025-08-22T03:00:00","91.864","131.877","","",""
"1","2025-08-21T03:00:00","91.93","194.563","","",""
"0","2025-08-20T03:00:00","0","129.684","","",""
