"Idade","Data","Referência (kg)","Ração automática (kg)","Relação","Ração manual (kg)","Relação"
"42","2025-12-05T03:00:00","8562.32","321.745361328125","","8283.68733369517",""
"41","2025-12-04T03:00:00","8378.013","7954.107421875","","8089.234579383077",""
"40","2025-12-03T03:00:00","8143.783","9247.3984375","","7920.6080232483755",""
"39","2025-12-02T03:00:00","7991.358","8148.2568359375","","7686.501382167143",""
"38","2025-12-01T03:00:00","7881.39","8886.811279296875","","7560.622579198821",""
"37","2025-11-30T03:00:00","7732.392","8198.0341796875","","7473.53914570208",""
"36","2025-11-29T03:00:00","7597.044","8179.57568359375","","7343.195298874444",""
"35","2025-11-28T03:00:00","7499.384","9385.52880859375","","7208.088612944874",""
"34","2025-11-27T03:00:00","7439.133","8393.690063476562","","7089.273965478749",""
"33","2025-11-26T03:00:00","7341.06","8351.239501953125","","7050.930943211152",""
"32","2025-11-25T03:00:00","7186.58","8062.02734375","","6940.278335606891",""
"31","2025-11-24T03:00:00","7068.776","8396.878662109375","","6780.731707202135",""
"30","2025-11-23T03:00:00","6965.408","7595.12744140625","","6709.38712923397",""
"29","2025-11-22T03:00:00","6821.6","7081.958984375","","6588.859216732761",""
"28","2025-11-21T03:00:00","6659.952","7404.2041015625","","6444.590615142522",""
"27","2025-11-20T03:00:00","6411.6","7709.046875","","6285.681042383376",""
"26","2025-11-19T03:00:00","6157.296","7625.72509765625","","6043.924079214784",""
"25","2025-11-18T03:00:00","5863.463","7492.7508544921875","","5807.595282493986",""
"24","2025-11-17T03:00:00","5696.523","7710.68701171875","","5529.4130607246825",""
"23","2025-11-16T03:00:00","5488.512","4584.5537109375","","5373.9865614362025",""
"22","2025-11-15T03:00:00","5277.561","6336.7822265625","","5193.790283169633",""
"21","2025-11-14T03:00:00","5081.08","5578.679443359375","","4990.907850233319",""
"20","2025-11-13T03:00:00","4913.286","4950.132568359375","","4792.3622961151905",""
"19","2025-11-12T03:00:00","4745.18","6753.8974609375","","4636.7850144253825",""
"18","2025-11-11T03:00:00","4445.789","4648.81494140625","","4474.090803392914",""
"17","2025-11-10T03:00:00","3930.108","4426.8193359375","","4191.802588357457",""
"16","2025-11-09T03:00:00","3673.105","4516.0029296875","","3705.5811755264363",""
"15","2025-11-08T03:00:00","3373.422","4114.0302734375","","3464.1408554006325",""
"14","2025-11-07T03:00:00","3203.83","3815.700927734375","","3182.239962658587",""
"13","2025-11-06T03:00:00","3120.264","3702.412353515625","","3021.977117847525",""
"12","2025-11-05T03:00:00","2776.064","3098.8291015625","","2946.273043700975",""
"11","2025-11-04T03:00:00","2475.225","3468.819580078125","","2618.9093721786444",""
"10","2025-11-03T03:00:00","2172.7","3551.44","","2334.023930280321",""
"9","2025-11-02T03:00:00","1869.468","3116.87","","2048.4260415357244",""
"8","2025-11-01T03:00:00","1609.574","2682.11","","1762.6999877499995",""
"7","2025-10-31T03:00:00","1523.585","2309.4","","1517.7530344033214",""
"6","2025-10-30T03:00:00","1351.104","2187.23","","1437.4604633063714",""
"5","2025-10-29T03:00:00","1178.577","1940.24","","1275.1366115471628",""
"4","2025-10-28T03:00:00","1005.238","1692.02","","1113.9106441476206",""
"3","2025-10-27T03:00:00","919.401","1443.82","","948.8868450146398",""
"2","2025-10-26T03:00:00","745.042","1319.63","","869.1455720725438",""
"1","2025-10-25T03:00:00","570.973","1070.58","","703.5940345349164",""
"0","2025-10-24T03:00:00","0","820.1","","538.9735783254869",""
