"Idade","Data","Referência (g)","GMD automático (g)","Relação","GMD manual (g)","Relação"
"42","2025-12-05T03:00:00","75.88466666666666","","","",""
"41","2025-12-04T03:00:00","75.14380487804878","64.79296044101095","","",""
"40","2025-12-03T03:00:00","74.36705","60.86620601239751","","",""
"39","2025-12-02T03:00:00","73.54928205128205","61.75064612009807","","",""
"38","2025-12-01T03:00:00","72.66063157894737","62.360550578423954","","",""
"37","2025-11-30T03:00:00","71.75254054054054","63.322659933291526","","",""
"36","2025-11-29T03:00:00","70.79527777777778","63.17919527900156","","",""
"35","2025-11-28T03:00:00","69.81354285714286","62.64723119304121","","",""
"34","2025-11-27T03:00:00","68.77405882352942","62.03535645337856","","",""
"33","2025-11-26T03:00:00","67.6729696969697","61.443389372823894","","",""
"32","2025-11-25T03:00:00","66.536125","62.20770686894215","","",""
"31","2025-11-24T03:00:00","65.36154838709678","60.38820837731101","","",""
"30","2025-11-23T03:00:00","64.10866666666666","59.68986817721663","","",""
"29","2025-11-22T03:00:00","62.84393103448276","58.46192523902228","","",""
"28","2025-11-21T03:00:00","61.528285714285715","56.54765123420441","","",""
"27","2025-11-20T03:00:00","60.15777777777778","57.615437782986334","","",""
"26","2025-11-19T03:00:00","58.72076923076923","56.47439673547655","","",""
"25","2025-11-18T03:00:00","57.25896","55.87200348818825","","",""
"24","2025-11-17T03:00:00","55.76541666666667","54.13456698382411","","",""
"23","2025-11-16T03:00:00","54.19","50.20743478630164","","",""
"22","2025-11-15T03:00:00","52.57172727272727","48.67890966888583","","",""
"21","2025-11-14T03:00:00","50.90228571428572","47.083181071591056","","",""
"20","2025-11-13T03:00:00","49.2315","42.324060377213186","","",""
"19","2025-11-12T03:00:00","47.44052631578948","40.54578121085712","","",""
"18","2025-11-11T03:00:00","45.63455555555556","38.907569949337415","","",""
"17","2025-11-10T03:00:00","43.808235294117644","38.05631837365405","","",""
"16","2025-11-09T03:00:00","41.891625","37.41588369880389","","",""
"15","2025-11-08T03:00:00","39.940266666666666","35.2278869509697","","",""
"14","2025-11-07T03:00:00","38.019","35.79400202567443","","",""
"13","2025-11-06T03:00:00","35.97553846153846","32.996743297504636","","",""
"12","2025-11-05T03:00:00","33.95183333333333","31.03957301041805","","",""
"11","2025-11-04T03:00:00","31.861272727272727","29.576571174050162","","",""
"10","2025-11-03T03:00:00","29.6792","27.97503462798725","","",""
"9","2025-11-02T03:00:00","27.625555555555554","26.74459996542954","","",""
"8","2025-11-01T03:00:00","25.46675","25.012780719421286","","",""
"7","2025-10-31T03:00:00","23.624285714285715","24.63177441053919","","",""
"6","2025-10-30T03:00:00","22.087666666666667","24.33144279591202","","",""
"5","2025-10-29T03:00:00","20.148","22.65382439628186","","",""
"4","2025-10-28T03:00:00","18.3425","22.49912182246412","","",""
"3","2025-10-27T03:00:00","17.526","22.35936500628789","","",""
"2","2025-10-26T03:00:00","17.526","16.875444024801254","","",""
"1","2025-10-25T03:00:00","23","19.486855804920197","","",""
"0","2025-10-24T03:00:00","0","","","",""
