"Idade","Data","Mortalidade (un)","Mortalidade (%)","Referência (%)","Relação"
"42","2025-12-05T03:00:00","106","0.25750030365601845","0.15",""
"41","2025-12-04T03:00:00","68","0.1647646046860992","0.15",""
"40","2025-12-03T03:00:00","67","0.1620745542949757","0.15",""
"39","2025-12-02T03:00:00","75","0.18113316910592667","0.15",""
"38","2025-12-01T03:00:00","91","0.2193775463465201","0.15",""
"37","2025-11-30T03:00:00","170","0.40892908688540364","0.15",""
"36","2025-11-29T03:00:00","154","0.3689329691917014","0.15",""
"35","2025-11-28T03:00:00","133","0.31745274011838837","0.05",""
"34","2025-11-27T03:00:00","161","0.3830688334245402","0.05",""
"33","2025-11-26T03:00:00","84","0.19909931263332542","0.05",""
"32","2025-11-25T03:00:00","54","0.12773808960590433","0.05",""
"31","2025-11-24T03:00:00","144","0.3402003402003402","0.05",""
"30","2025-11-23T03:00:00","163","0.3837822565454888","0.05",""
"29","2025-11-22T03:00:00","57","0.13369297525507212","0.05",""
"28","2025-11-21T03:00:00","52","0.1218026796589525","0.05",""
"27","2025-11-20T03:00:00","15","0.03509264458169568","0.05",""
"26","2025-11-19T03:00:00","40","0.09354755723941159","0.05",""
"25","2025-11-18T03:00:00","32","0.07476810205845931","0.05",""
"24","2025-11-17T03:00:00","48","0.11206836170063739","0.05",""
"23","2025-11-16T03:00:00","28","0.06530003031787122","0.05",""
"22","2025-11-15T03:00:00","153","0.3565851725825623","0.05",""
"21","2025-11-14T03:00:00","39","0.09057129586623316","0.05",""
"20","2025-11-13T03:00:00","39","0.09048933849973317","0.05",""
"19","2025-11-12T03:00:00","25","0.05795354443877788","0.05",""
"18","2025-11-11T03:00:00","25","0.05791997775872854","0.05",""
"17","2025-11-10T03:00:00","25","0.05788644993979809","0.05",""
"16","2025-11-09T03:00:00","36","0.08330826371693703","0.05",""
"15","2025-11-08T03:00:00","46","0.10636084071308007","0.05",""
"14","2025-11-07T03:00:00","42","0.09700889248181083","0.05",""
"13","2025-11-06T03:00:00","39","0.08999238525970879","0.05",""
"12","2025-11-05T03:00:00","49","0.11296569531538178","0.05",""
"11","2025-11-04T03:00:00","29","0.0667818077144502","0.05",""
"10","2025-11-03T03:00:00","22","0.050628250563814606","0.05",""
"9","2025-11-02T03:00:00","26","0.05980310976170761","0.05",""
"8","2025-11-01T03:00:00","29","0.06666360167348627","0.05",""
"7","2025-10-31T03:00:00","53","0.12175231444258115","0.15",""
"6","2025-10-30T03:00:00","67","0.15372613803230542","0.15",""
"5","2025-10-29T03:00:00","55","0.12599940436645207","0.15",""
"4","2025-10-28T03:00:00","75","0.17160115315974922","0.15",""
"3","2025-10-27T03:00:00","45","0.10278431282976634","0.15",""
"2","2025-10-26T03:00:00","95","0.21676630310774425","0.15",""
"1","2025-10-25T03:00:00","76","0.17303795450923248","0.15",""
"0","2025-10-24T03:00:00","","","0.15",""
